arm,stage,global_step,local_step,loss,lr
quarter,1,18800,18800,0.988443,0.0001
quarter,1,18850,18850,0.9886604,0.0001
quarter,1,18900,18900,0.9882864,0.0001
quarter,1,18950,18950,0.9886724,0.0001
quarter,1,19000,19000,0.9886214,0.0001
quarter,1,19050,19050,0.9887472,0.0001
quarter,1,19100,19100,0.9886039,0.0001
quarter,1,19150,19150,0.9885627,0.0001
quarter,1,19200,19200,0.9885903,0.0001
quarter,1,19250,19250,0.9884716,0.0001
quarter,1,19300,19300,0.9889018,0.0001
quarter,1,19350,19350,0.9884443,0.0001
quarter,1,19400,19400,0.9884216,0.0001
quarter,1,19450,19450,0.9884437,0.0001
quarter,1,19500,19500,0.988556,0.0001
quarter,1,19550,19550,0.9887187,0.0001
quarter,1,19600,19600,0.988931,0.0001
quarter,1,19650,19650,0.9885088,0.0001
quarter,1,19700,19700,0.988395,0.0001
quarter,1,19750,19750,0.9882709,0.0001
quarter,1,19800,19800,0.9887835,0.0001
quarter,1,19850,19850,0.988658,0.0001
quarter,1,19900,19900,0.9885917,0.0001
quarter,1,19950,19950,0.9883519,0.0001
quarter,1,20000,20000,0.9885062,0.0001
quarter,1,20050,20050,0.988468,0.0001
quarter,1,20100,20100,0.9887092,0.0001
quarter,1,20150,20150,0.9882557,0.0001
quarter,1,20200,20200,0.988409,0.0001
quarter,1,20250,20250,0.9882456,0.0001
quarter,1,20300,20300,0.9884742,0.0001
quarter,1,20350,20350,0.9885795,0.0001
quarter,1,20400,20400,0.9884377,0.0001
quarter,1,20450,20450,0.9884275,0.0001
quarter,1,20500,20500,0.9888507,0.0001
quarter,1,20550,20550,0.9887069,0.0001
quarter,1,20600,20600,0.9885351,0.0001
quarter,1,20650,20650,0.9883254,0.0001
quarter,1,20700,20700,0.9887088,0.0001
quarter,1,20750,20750,0.988481,0.0001
quarter,1,20800,20800,0.9887277,0.0001
quarter,1,20850,20850,0.9882819,0.0001
quarter,1,20900,20900,0.9882585,0.0001
quarter,1,20950,20950,0.9884639,0.0001
quarter,1,21000,21000,0.988476,0.0001
quarter,1,21050,21050,0.9885902,0.0001
quarter,1,21100,21100,0.9884878,0.0001
quarter,1,21150,21150,0.9883529,0.0001
quarter,1,21200,21200,0.9886459,0.0001
quarter,1,21250,21250,0.9879662,0.0001
quarter,1,21300,21300,0.9883803,0.0001
quarter,1,21350,21350,0.9883873,0.0001
quarter,1,21400,21400,0.9883252,0.0001
quarter,1,21450,21450,0.9884222,0.0001
quarter,1,21500,21500,0.9885116,0.0001
quarter,1,21550,21550,0.9884478,0.0001
quarter,1,21600,21600,0.9886041,0.0001
quarter,1,21650,21650,0.9883993,0.0001
quarter,1,21700,21700,0.9884974,0.0001
quarter,1,21750,21750,0.9883839,0.0001
quarter,1,21800,21800,0.9882601,0.0001
quarter,1,21850,21850,0.9883935,0.0001
quarter,1,21900,21900,0.9884034,0.0001
quarter,1,21950,21950,0.9885765,0.0001
quarter,1,22000,22000,0.9885075,0.0001
quarter,1,22050,22050,0.9882329,0.0001
quarter,1,22100,22100,0.9885476,0.0001
quarter,1,22150,22150,0.9887097,0.0001
quarter,1,22200,22200,0.9887115,0.0001
quarter,1,22250,22250,0.988641,0.0001
quarter,1,22300,22300,0.9887225,0.0001
quarter,1,22350,22350,0.9883692,0.0001
quarter,1,22400,22400,0.9885647,0.0001
quarter,1,22450,22450,0.9885322,0.0001
quarter,1,22500,22500,0.9885469,0.0001
quarter,1,22550,22550,0.9887993,0.0001
quarter,1,22600,22600,0.9885116,0.0001
quarter,1,22650,22650,0.9883695,0.0001
quarter,1,22700,22700,0.9882769,0.0001
quarter,1,22750,22750,0.9887269,0.0001
quarter,1,22800,22800,0.9884746,0.0001
quarter,1,22850,22850,0.9882399,0.0001
quarter,1,22900,22900,0.9883855,0.0001
quarter,1,22950,22950,0.9883358,0.0001
quarter,1,23000,23000,0.9884753,0.0001
quarter,1,23050,23050,0.988593,0.0001
quarter,1,23100,23100,0.9884671,0.0001
quarter,1,23150,23150,0.9882987,0.0001
quarter,1,23200,23200,0.988656,0.0001
quarter,1,23250,23250,0.9885323,0.0001
quarter,1,23300,23300,0.9885406,0.0001
quarter,1,23350,23350,0.9885999,0.0001
quarter,1,23400,23400,0.9884819,0.0001
quarter,1,23450,23450,0.9885059,0.0001
quarter,1,23500,23500,0.9883128,0.0001
quarter,1,23550,23550,0.9888795,0.0001
quarter,1,23600,23600,0.9887063,0.0001
quarter,1,23650,23650,0.988663,0.0001
quarter,1,23700,23700,0.9884945,0.0001
quarter,1,23750,23750,0.988523,0.0001
quarter,1,23800,23800,0.9883029,0.0001
quarter,1,23850,23850,0.9881253,0.0001
quarter,1,23900,23900,0.988674,0.0001
quarter,1,23950,23950,0.9882377,0.0001
quarter,1,24000,24000,0.9886291,0.0001
quarter,1,24050,24050,0.9883306,0.0001
quarter,1,24100,24100,0.9884658,0.0001
quarter,1,24150,24150,0.9885601,0.0001
quarter,1,24200,24200,0.9882007,0.0001
quarter,1,24250,24250,0.988449,0.0001
quarter,1,24300,24300,0.9883783,0.0001
quarter,1,24350,24350,0.9883714,0.0001
quarter,1,24400,24400,0.9886724,0.0001
quarter,1,24450,24450,0.9882197,0.0001
quarter,1,24500,24500,0.9883496,0.0001
quarter,1,24550,24550,0.9887509,0.0001
quarter,1,24600,24600,0.9883385,0.0001
quarter,1,24650,24650,0.9885191,0.0001
quarter,1,24700,24700,0.988422,0.0001
quarter,1,24750,24750,0.9884444,0.0001
quarter,1,24800,24800,0.9885795,0.0001
quarter,1,24850,24850,0.9885064,0.0001
quarter,1,24900,24900,0.9884813,0.0001
quarter,1,24950,24950,0.9887618,0.0001
quarter,1,25000,25000,0.9883574,0.0001
quarter,1,25050,25050,0.9882928,0.0001
quarter,1,25100,25100,0.9882817,0.0001
quarter,1,25150,25150,0.9886178,0.0001
quarter,1,25200,25200,0.9884975,0.0001
quarter,1,25250,25250,0.9885467,0.0001
